Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
USAS,Americas Gold and Silver Corporation Common Shares no par value,$7.37,-0.02,-0.271%,2016650174.00,Canada,2017,4249440,Basic Materials,Metal Mining
USBC,USBC Inc. Common Stock,$0.405,0.021,5.469%,157198190.00,,,294178,Industrials,Industrial Machinery/Components
UTG,Reaves Utility Income Fund Common Shares of Beneficial Interest,$41.07,0.35,0.86%,0.00,United States,2004,216349,Finance,Investment Managers
UUU,Universal Safety Products Inc. Common Stock,$6.15,0.30,5.128%,16714390.00,United States,2003,54906,Technology,Electronic Components
UUUU,Energy Fuels Inc Ordinary Shares (Canada),$19.32,0.08,0.416%,4667827920.00,Canada,,6509418,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
VENU,Venu Holding Corporation Common Stock,$3.68,0.18,5.143%,157834567.00,United States,2024,428919,Consumer Discretionary,Services-Misc. Amusement & Recreation
VFL,abrdn National Municipal Income Fund Common Stock,$10.15,0.05,0.495%,0.00,United States,1993,16576,Finance,Finance/Investors Services
VGZ,Vista Gold Corp Common Stock,$2.08,0.04,1.961%,301490842.00,United States,1986,1694030,Basic Materials,Precious Metals
VKI,Invesco Advantage Municipal Income Trust II Common Shares of Beneficial Interest (DE),$9.52,0.22,2.366%,422745310.00,United States,1993,171402,Finance,Finance Companies
VNRX,VolitionRX Limited Common Stock,$0.19,0.0037,1.986%,25757412.00,Singapore,2015,656790,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
VNTG,Vantage Corp Class A Ordinary Shares,$0.88,0.07,8.642%,27929000.00,,2025,59337,Industrials,Integrated Freight & Logistics
VTAK,Catheter Precision Inc. Common Stock,$1.31,-0.10,-7.092%,3087836.00,,2018,269727,Health Care,Medical/Dental Instruments
VZLA,Vizsla Silver Corp. Common Shares,$3.58,-0.05,-1.377%,1251205829.00,Canada,2024,6930436,Basic Materials,Precious Metals
WRN,Western Copper and Gold Corporation Common Stock,$2.73,-0.08,-2.847%,551614043.00,Canada,2011,1159006,Basic Materials,Metal Mining
WWR,Westwater Resources Inc. Common Stock,$0.756,-0.004,-0.526%,89200035.00,United States,,664795,Basic Materials,Metal Mining
WYY,WidePoint Corporation Common Stock,$5.02,0.04,0.803%,49652830.00,United States,,29565,Technology,EDP Services
XPL,Solitario Resources Corp. Common Stock,$0.87,-0.02,-2.247%,80227039.00,United States,,298751,Basic Materials,Precious Metals
XTNT,Xtant Medical Holdings Inc. Common Stock,$0.603,-0.0269,-4.271%,84422557.00,United States,,68608,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
YCBD,cbdMD Inc. Common Stock,$0.7526,0.0326,4.528%,7898959.00,United States,2017,410605,Consumer Discretionary,Package Goods/Cosmetics
ZDGE,Zedge Inc. Class B Common Stock ,$3.03,0.10,3.413%,39516945.00,,2016,97213,Technology,Computer Software: Prepackaged Software
ZONE,CleanCore Solutions Inc. Class B Common Stock,$0.3447,-0.0083,-2.351%,72578732.00,,2024,1403572,Industrials,Industrial Machinery/Components
